Date,Revenue,Order_Count,Unique_Customers,Line_Items,Avg_Order_Value,Revenue_7day_MA,Anomaly_Flag,Anomaly_Type,Rolling_Mean_30,Rolling_Std_30,Year,Month,Month_Name,DayOfWeek,WeekNumber
2009-12-18,42588.09,68,55,2033,626.3,44608.63,0,Normal,44645.45,16976.16,2009,12,Dec,Friday,51
2009-12-20,11450.68,34,31,628,336.78,40578.78,0,Normal,42801.3,18233.32,2009,12,Dec,Sunday,51
2009-12-21,16367.84,41,30,619,399.22,39729.46,0,Normal,41410.06,18728.58,2009,12,Dec,Monday,52
2009-12-22,28023.43,45,16,1846,622.74,33257.43,0,Normal,40740.73,18473.19,2009,12,Dec,Tuesday,52
2009-12-23,10871.1,22,12,526,494.14,27618.98,0,Normal,39318.37,19148.92,2009,12,Dec,Wednesday,52
2010-01-04,13481.25,29,22,607,464.87,22003.12,0,Normal,38143.96,19482.39,2010,1,Jan,Monday,1
2010-01-05,19199.29,36,31,910,533.31,20283.1,0,Normal,37320.27,19440.04,2010,1,Jan,Tuesday,1
2010-01-06,8746.18,14,13,293,624.73,15448.54,0,Normal,36129.69,19887.28,2010,1,Jan,Wednesday,1
2010-01-07,73085.74,47,41,986,1555.02,24253.55,0,Normal,37607.93,20824.38,2010,1,Jan,Thursday,1
2010-01-08,30319.05,45,42,711,673.76,26246.58,0,Normal,37327.59,20453.65,2010,1,Jan,Friday,1
2010-01-10,23688.6,34,29,700,696.72,25627.32,0,Normal,36822.44,20227.48,2010,1,Jan,Sunday,1
2010-01-11,37887.26,56,37,2662,676.56,29486.77,0,Normal,36860.47,19850.39,2010,1,Jan,Monday,2
2010-01-12,40856.53,39,32,1079,1047.6,33397.52,0,Normal,36998.26,19506.81,2010,1,Jan,Tuesday,2
2010-01-13,22489.07,30,25,1587,749.64,33867.49,0,Normal,36514.62,19349.72,2010,1,Jan,Wednesday,2
2010-01-14,31672.73,58,47,2172,546.08,37142.71,0,Normal,35753.27,19064.35,2010,1,Jan,Thursday,2
2010-01-15,13515.89,46,37,643,293.82,28632.73,0,Normal,34092.04,18745.14,2010,1,Jan,Friday,2
2010-01-17,17578.24,40,35,1114,439.46,26812.62,0,Normal,32210.06,17380.93,2010,1,Jan,Sunday,2
2010-01-18,21451.56,40,32,1889,536.29,26493.04,0,Normal,31567.34,17411.37,2010,1,Jan,Monday,3
2010-01-19,33352.56,47,41,1853,709.63,25845.23,0,Normal,32352.33,16920.23,2010,1,Jan,Tuesday,3
2010-01-20,19140.16,37,31,1133,517.3,22742.89,0,Normal,32169.88,17035.67,2010,1,Jan,Wednesday,3
2010-01-21,27391.96,48,47,1152,570.67,23443.3,0,Normal,31580.16,16878.72,2010,1,Jan,Thursday,3
2010-01-22,36814.82,45,39,1463,818.11,24177.88,0,Normal,31156.75,16569.74,2010,1,Jan,Friday,3
2010-01-24,16070.24,50,48,1268,321.4,24542.79,0,Normal,30338.56,16692.11,2010,1,Jan,Sunday,3
2010-01-25,23045.6,57,44,1663,404.31,25323.84,0,Normal,29625.34,16525.0,2010,1,Jan,Monday,4
2010-01-26,47243.84,93,68,1494,508.0,29008.45,0,Normal,29878.15,16740.41,2010,1,Jan,Tuesday,4
2010-01-27,28703.6,56,47,1520,512.56,28344.32,0,Normal,30091.16,16681.38,2010,1,Jan,Wednesday,4
2010-01-28,19865.67,56,48,1190,354.74,28447.96,0,Normal,28309.1,14633.07,2010,1,Jan,Thursday,4
2010-01-29,28403.98,49,37,1156,579.67,28592.54,0,Normal,27577.89,14029.86,2010,1,Jan,Friday,4
2010-01-31,18704.68,53,47,1393,352.92,26005.37,0,Normal,26441.64,13277.56,2010,1,Jan,Sunday,4
2010-02-01,19831.43,66,49,1381,300.48,26542.69,0,Normal,26061.37,13298.76,2010,2,Feb,Monday,5
2010-02-02,21696.7,46,34,1157,471.67,26349.99,0,Normal,25364.99,12945.8,2010,2,Feb,Tuesday,5
2010-02-03,21450.19,49,41,1443,437.76,22665.18,0,Normal,25698.31,12701.62,2010,2,Feb,Wednesday,5
2010-02-04,22676.5,64,52,1511,354.32,21804.16,0,Normal,25908.59,12593.58,2010,2,Feb,Thursday,5
2010-02-05,21931.04,40,35,948,548.28,22099.22,0,Normal,25705.52,12607.42,2010,2,Feb,Friday,5
2010-02-07,17078.21,30,29,813,569.27,20481.25,0,Normal,25912.42,12404.88,2010,2,Feb,Sunday,5
2010-02-08,17438.52,60,45,1329,290.64,20300.37,0,Normal,26044.33,12288.63,2010,2,Feb,Monday,6
2010-02-09,19666.54,54,51,1051,364.2,20276.81,0,Normal,26059.9,12279.95,2010,2,Feb,Tuesday,6
2010-02-10,9583.09,31,24,860,309.13,18546.3,0,Normal,26087.8,12240.14,2010,2,Feb,Wednesday,6
2010-02-11,15114.4,56,48,815,269.9,17641.19,0,Normal,24155.42,8599.12,2010,2,Feb,Thursday,6
2010-02-12,11393.61,32,27,772,356.05,16029.34,0,Normal,23524.57,8822.65,2010,2,Feb,Friday,6
2010-02-14,17914.45,46,39,1186,389.44,15455.55,0,Normal,23332.1,8881.73,2010,2,Feb,Sunday,6
2010-02-15,42784.78,45,35,886,950.77,19127.91,1,High,23495.35,9197.87,2010,2,Feb,Monday,7
2010-02-16,31203.68,61,51,1890,511.54,21094.36,0,Normal,23173.59,8726.35,2010,2,Feb,Tuesday,7
2010-02-17,26616.23,49,42,1008,543.19,22087.18,0,Normal,23311.16,8747.69,2010,2,Feb,Wednesday,7
2010-02-18,35811.19,63,58,1343,568.43,25834.05,0,Normal,23449.11,8915.13,2010,2,Feb,Thursday,7
2010-02-19,27254.86,58,30,1625,469.91,27568.4,0,Normal,23907.08,8738.4,2010,2,Feb,Friday,7
2010-02-21,11477.91,37,34,919,310.21,27580.44,0,Normal,23703.73,8958.94,2010,2,Feb,Sunday,7
2010-02-22,26359.13,48,41,1111,549.15,28786.83,0,Normal,23867.32,8961.21,2010,2,Feb,Monday,8
2010-02-23,22707.44,47,42,1148,483.14,25918.63,0,Normal,23512.48,8781.62,2010,2,Feb,Tuesday,8
2010-02-24,33086.29,63,47,1319,525.18,26187.58,0,Normal,23977.35,8910.37,2010,2,Feb,Wednesday,8
2010-02-25,46642.82,67,55,1504,696.16,29048.52,1,High,24619.05,9812.31,2010,2,Feb,Thursday,8
2010-02-26,16703.7,36,26,980,463.99,26318.88,0,Normal,23948.68,9635.77,2010,2,Feb,Friday,8
2010-02-28,16917.02,53,50,1282,319.19,24842.04,0,Normal,23976.9,9613.11,2010,2,Feb,Sunday,8
2010-03-01,25831.21,58,49,1180,445.37,26892.52,0,Normal,24069.76,9617.25,2010,3,Mar,Monday,9
2010-03-02,26423.87,55,48,1519,480.43,26901.76,0,Normal,23375.76,8582.88,2010,3,Mar,Tuesday,9
2010-03-03,34114.91,63,53,1726,541.51,28531.4,0,Normal,23556.14,8753.87,2010,3,Mar,Wednesday,9
2010-03-04,32369.19,74,67,1891,437.42,28428.96,0,Normal,23972.92,8869.0,2010,3,Mar,Thursday,9
2010-03-05,27684.73,81,55,1263,341.79,25720.66,0,Normal,23948.94,8857.58,2010,3,Mar,Friday,9
2010-03-07,20001.22,58,46,1778,344.85,26191.74,0,Normal,23992.16,8834.24,2010,3,Mar,Sunday,9
2010-03-08,37256.01,76,66,1928,490.21,29097.31,0,Normal,24572.98,9119.45,2010,3,Mar,Monday,10
2010-03-09,22035.75,57,51,1157,386.59,28555.1,0,Normal,24584.28,9115.97,2010,3,Mar,Tuesday,10
2010-03-10,27547.43,61,47,1570,451.6,28715.61,0,Normal,24787.52,9111.66,2010,3,Mar,Wednesday,10
2010-03-11,24591.91,48,39,1285,512.33,27355.18,0,Normal,24851.37,9103.06,2010,3,Mar,Thursday,10
2010-03-12,21712.54,36,30,906,603.13,25832.8,0,Normal,24844.09,9105.56,2010,3,Mar,Friday,10
2010-03-14,9032.7,24,22,668,376.36,23168.22,0,Normal,24575.9,9453.99,2010,3,Mar,Sunday,10
2010-03-15,27662.45,57,41,1656,485.31,24262.68,0,Normal,24916.7,9371.75,2010,3,Mar,Monday,11
2010-03-16,24059.94,45,42,1302,534.67,22377.53,0,Normal,25063.15,9321.07,2010,3,Mar,Tuesday,11
2010-03-17,30795.24,48,40,1272,641.57,23628.89,0,Normal,25770.22,8901.4,2010,3,Mar,Wednesday,11
2010-03-18,41145.01,86,70,1574,478.43,25571.4,0,Normal,26637.91,9093.51,2010,3,Mar,Thursday,11
2010-03-19,45764.45,62,47,1360,738.14,28596.05,0,Normal,27783.6,9270.13,2010,3,Mar,Friday,11
2010-03-21,20873.23,56,51,1371,372.74,28476.15,0,Normal,27882.23,9176.78,2010,3,Mar,Sunday,11
2010-03-22,25614.49,56,49,1481,457.4,30844.97,0,Normal,27309.88,8740.34,2010,3,Mar,Monday,12
2010-03-23,56488.73,71,58,1296,795.62,34963.01,1,High,28152.72,10222.26,2010,3,Mar,Tuesday,12
2010-03-24,30179.26,73,59,1483,413.41,35837.2,0,Normal,28271.49,10224.5,2010,3,Mar,Wednesday,12
2010-03-25,38993.08,85,67,1866,458.74,37008.32,0,Normal,28377.55,10321.45,2010,3,Mar,Thursday,12
2010-03-26,32546.05,62,48,1354,524.94,35779.9,0,Normal,28553.92,10346.78,2010,3,Mar,Friday,12
2010-03-28,22562.62,59,56,1834,382.42,32465.35,0,Normal,28923.41,9904.42,2010,3,Mar,Sunday,12
2010-03-29,59935.77,85,41,1960,705.13,38045.71,1,High,30042.64,11390.32,2010,3,Mar,Monday,13
2010-03-30,38630.01,70,54,1815,551.86,39905.07,0,Normal,30573.39,11407.69,2010,3,Mar,Tuesday,13
2010-03-31,29718.33,75,59,1869,396.24,36080.73,0,Normal,30461.12,11398.68,2010,3,Mar,Wednesday,13
2010-04-01,30823.15,79,72,1681,390.17,36172.72,0,Normal,29933.8,10982.6,2010,4,Apr,Thursday,13
2010-04-06,19476.52,55,46,1087,354.12,33384.64,0,Normal,30026.23,10878.59,2010,4,Apr,Tuesday,14
2010-04-07,34590.91,61,46,1371,567.06,33676.76,0,Normal,30615.36,10619.67,2010,4,Apr,Wednesday,14
2010-04-08,47626.52,86,70,1999,553.8,37257.32,0,Normal,31341.87,11019.11,2010,4,Apr,Thursday,14
2010-04-09,16988.42,51,33,910,333.11,31121.98,0,Normal,31027.35,11295.51,2010,4,Apr,Friday,14
2010-04-11,19967.32,42,40,1111,475.41,28455.88,0,Normal,30555.77,11456.34,2010,4,Apr,Sunday,14
2010-04-12,27221.41,46,37,948,591.77,28099.18,0,Normal,30384.17,11466.79,2010,4,Apr,Monday,15
2010-04-13,26027.6,52,43,1245,500.53,27414.1,0,Normal,30328.94,11484.22,2010,4,Apr,Tuesday,15
2010-04-14,27214.08,45,39,1092,604.76,28519.47,0,Normal,30569.36,11335.08,2010,4,Apr,Wednesday,15
2010-04-15,29613.48,74,57,1140,400.18,27808.4,0,Normal,30314.61,11265.29,2010,4,Apr,Thursday,15
2010-04-16,19561.05,42,37,855,465.74,23799.05,0,Normal,30232.12,11336.84,2010,4,Apr,Friday,15
2010-04-18,24096.88,54,43,1451,446.24,24814.55,0,Normal,30117.1,11382.42,2010,4,Apr,Sunday,15
2010-04-19,45287.87,74,44,3105,612.0,28431.77,0,Normal,30806.97,11659.8,2010,4,Apr,Monday,16
2010-04-20,29204.7,68,53,1522,429.48,28715.09,0,Normal,31056.71,11537.89,2010,4,Apr,Tuesday,16
2010-04-21,29469.46,66,51,1305,446.51,29206.79,0,Normal,31737.93,10770.49,2010,4,Apr,Wednesday,16
2010-04-22,43505.03,79,67,1411,550.7,31534.07,0,Normal,32266.02,10950.66,2010,4,Apr,Thursday,16
2010-04-23,16737.31,57,43,1136,293.64,29694.61,0,Normal,32021.93,11218.22,2010,4,Apr,Friday,16
2010-04-25,16774.12,46,44,1319,364.65,29296.48,0,Normal,31554.56,11558.01,2010,4,Apr,Sunday,16
2010-04-26,36270.85,99,66,1937,366.37,31035.62,0,Normal,31392.09,11452.33,2010,4,Apr,Monday,17
2010-04-27,46378.58,79,63,1643,587.07,31191.44,0,Normal,31412.56,11479.42,2010,4,Apr,Tuesday,17
2010-04-28,32562.56,73,62,1777,446.06,31671.13,0,Normal,31802.21,11306.43,2010,4,Apr,Wednesday,17
2010-04-29,32848.17,84,71,2019,391.05,32153.8,0,Normal,32043.33,11246.9,2010,4,Apr,Thursday,17
2010-04-30,29283.0,50,36,1204,585.66,30122.08,0,Normal,31136.47,10261.51,2010,4,Apr,Friday,17
2010-05-02,12367.83,40,39,840,309.2,29497.87,0,Normal,30542.76,10818.93,2010,5,May,Sunday,17
2010-05-04,22745.04,52,43,1390,437.4,30350.86,0,Normal,30001.15,10787.96,2010,5,May,Tuesday,18
2010-05-05,28118.53,82,57,1511,342.91,29186.24,0,Normal,29853.57,10782.23,2010,5,May,Wednesday,18
2010-05-06,54666.13,84,68,2057,650.79,30370.18,1,High,30923.69,11596.06,2010,5,May,Thursday,18
2010-05-07,35769.25,66,48,1333,541.96,30828.28,0,Normal,30118.14,10275.35,2010,5,May,Friday,18
2010-05-09,23143.29,62,52,1749,373.28,29441.87,0,Normal,29601.91,10221.85,2010,5,May,Sunday,18
2010-05-10,32948.68,77,65,1570,427.9,29965.54,0,Normal,29709.59,10240.12,2010,5,May,Monday,19
2010-05-11,28780.12,65,59,1668,442.77,32310.15,0,Normal,29641.49,10239.25,2010,5,May,Tuesday,19
2010-05-12,31407.31,65,51,1240,483.19,33547.62,0,Normal,30039.18,10060.98,2010,5,May,Wednesday,19
2010-05-13,41108.4,66,58,1329,622.85,35403.31,0,Normal,30256.43,10231.57,2010,5,May,Thursday,19
2010-05-14,18895.91,49,36,801,385.63,30293.28,0,Normal,29298.75,9888.51,2010,5,May,Friday,19
2010-05-16,18478.89,44,38,1496,419.97,27823.23,0,Normal,29348.43,9828.08,2010,5,May,Sunday,19
2010-05-17,25562.62,49,42,1365,521.69,28168.85,0,Normal,29534.94,9696.12,2010,5,May,Monday,20
2010-05-18,29021.78,64,51,1485,453.47,27607.86,0,Normal,29594.95,9686.88,2010,5,May,Tuesday,20
2010-05-19,17831.08,61,56,1177,292.31,26043.71,0,Normal,29321.73,9904.12,2010,5,May,Wednesday,20
2010-05-20,25782.58,67,57,1591,384.81,25240.18,0,Normal,29274.02,9918.06,2010,5,May,Thursday,20
2010-05-21,27340.92,52,39,1277,525.79,23273.4,0,Normal,29198.26,9924.06,2010,5,May,Friday,20
2010-05-23,25457.97,49,41,1327,519.55,24210.83,0,Normal,29394.83,9784.0,2010,5,May,Sunday,20
2010-05-24,35831.33,71,61,1398,504.67,26689.75,0,Normal,29785.98,9799.45,2010,5,May,Monday,21
2010-05-25,22463.37,61,52,1370,368.25,26247.0,0,Normal,29025.16,9433.6,2010,5,May,Tuesday,21
2010-05-26,38438.24,96,64,1808,400.4,27592.21,0,Normal,29332.94,9589.01,2010,5,May,Wednesday,21
2010-05-27,30978.43,88,77,2021,352.03,29470.41,0,Normal,29383.24,9593.71,2010,5,May,Thursday,21
2010-05-28,21906.2,58,43,1197,377.69,28916.64,0,Normal,28663.28,9303.44,2010,5,May,Friday,21
2010-05-30,10814.96,32,30,795,337.97,26555.79,0,Normal,28465.87,9622.59,2010,5,May,Sunday,21
2010-06-01,15732.15,47,33,1207,334.73,25166.38,0,Normal,28431.14,9668.02,2010,6,Jun,Tuesday,22
2010-06-02,16236.29,46,38,952,352.96,22367.09,0,Normal,27763.32,9798.87,2010,6,Jun,Wednesday,22
2010-06-03,29651.8,67,52,1631,442.56,23394.01,0,Normal,27205.76,9158.06,2010,6,Jun,Thursday,22
2010-06-04,21273.58,51,29,1373,417.13,20941.92,0,Normal,26829.46,9162.29,2010,6,Jun,Friday,22
2010-06-06,25686.0,68,62,2208,377.74,20185.85,0,Normal,26590.72,9093.11,2010,6,Jun,Sunday,22
2010-06-07,49759.94,103,81,2608,483.11,24164.96,1,High,27273.29,10023.15,2010,6,Jun,Monday,23
2010-06-08,54433.03,81,61,2043,672.01,30396.11,1,High,28675.46,10779.83,2010,6,Jun,Tuesday,23
2010-06-09,38414.69,68,59,1424,564.92,33636.48,0,Normal,29197.78,10861.88,2010,6,Jun,Wednesday,23
2010-06-10,18389.4,66,56,1005,278.63,33944.06,0,Normal,28873.48,11039.01,2010,6,Jun,Thursday,23
2010-06-11,37802.25,86,65,1743,439.56,35108.41,0,Normal,28311.35,10066.88,2010,6,Jun,Friday,23
2010-06-13,21616.44,70,61,1453,308.81,35157.39,0,Normal,27839.59,10036.9,2010,6,Jun,Sunday,23
2010-06-14,24375.41,57,48,1589,427.64,34970.17,0,Normal,27880.66,10019.53,2010,6,Jun,Monday,24
2010-06-15,30542.48,52,41,1523,587.36,32224.81,0,Normal,27800.45,9987.14,2010,6,Jun,Tuesday,24
2010-06-16,31335.03,81,65,1823,386.85,28925.1,0,Normal,27885.62,10006.65,2010,6,Jun,Wednesday,24
2010-06-17,58225.94,78,61,1761,746.49,31755.28,1,High,28779.57,11428.97,2010,6,Jun,Thursday,24
2010-06-18,18800.68,50,44,953,376.01,31814.03,0,Normal,28035.98,11324.39,2010,6,Jun,Friday,24
2010-06-20,9113.43,26,26,439,350.52,27715.63,0,Normal,27709.9,11730.22,2010,6,Jun,Sunday,24
2010-06-21,21159.71,44,40,1774,480.9,27650.38,0,Normal,27799.26,11667.51,2010,6,Jun,Monday,25
2010-06-22,14749.68,43,36,1001,343.02,26275.28,0,Normal,27438.83,11903.62,2010,6,Jun,Tuesday,25
2010-06-23,27848.74,68,54,1219,409.54,25890.46,0,Normal,27399.72,11900.16,2010,6,Jun,Wednesday,25
2010-06-24,26729.66,73,42,1485,366.16,25232.55,0,Normal,27696.34,11763.55,2010,6,Jun,Thursday,25
2010-06-25,17719.42,45,37,1198,393.76,19445.9,0,Normal,27427.57,11900.11,2010,6,Jun,Friday,25
2010-06-27,18834.32,55,52,1254,342.44,19450.71,0,Normal,27144.02,12003.14,2010,6,Jun,Sunday,25
2010-06-28,53998.72,70,64,1827,771.41,25862.89,0,Normal,28095.38,12957.98,2010,6,Jun,Monday,26
2010-06-29,35141.21,71,56,1589,494.95,27860.25,0,Normal,28072.37,12944.38,2010,6,Jun,Tuesday,26
2010-06-30,34700.14,79,67,1818,439.24,30710.32,0,Normal,28480.27,12954.33,2010,6,Jun,Wednesday,26
2010-07-01,30314.81,85,80,1810,356.64,31062.61,0,Normal,28209.48,12823.24,2010,7,Jul,Thursday,26
2010-07-02,16893.27,47,36,1041,359.43,29657.41,0,Normal,27739.98,12975.32,2010,7,Jul,Friday,26
2010-07-04,10493.66,21,20,679,499.7,28625.16,0,Normal,27359.56,13315.1,2010,7,Jul,Sunday,26
2010-07-05,32895.2,85,65,1885,387.0,30633.86,0,Normal,28095.57,12974.96,2010,7,Jul,Monday,27
2010-07-06,23503.99,58,47,1098,405.24,26277.47,0,Normal,28354.63,12795.95,2010,7,Jul,Tuesday,27
2010-07-07,32252.99,77,56,1720,418.87,25864.87,0,Normal,28888.52,12605.61,2010,7,Jul,Wednesday,27
2010-07-08,20301.63,70,58,1311,290.02,23807.94,0,Normal,28576.85,12701.32,2010,7,Jul,Thursday,27
2010-07-09,37271.94,30,23,882,1242.4,24801.81,0,Normal,29110.13,12719.95,2010,7,Jul,Friday,27
2010-07-11,7856.43,28,24,706,280.59,23510.83,0,Normal,28515.81,13289.24,2010,7,Jul,Sunday,27
2010-07-12,19885.9,50,38,1199,397.72,24852.58,0,Normal,27520.01,12750.83,2010,7,Jul,Monday,28
2010-07-13,21056.39,55,38,1142,382.84,23161.32,0,Normal,26407.45,11737.45,2010,7,Jul,Tuesday,28
2010-07-14,23860.81,62,47,1360,384.85,23212.3,0,Normal,25922.32,11522.86,2010,7,Jul,Wednesday,28
2010-07-15,56662.69,80,64,1571,708.28,26699.4,1,High,27198.1,12716.96,2010,7,Jul,Thursday,28
2010-07-16,22603.54,68,56,1128,332.4,27028.24,0,Normal,26691.48,12581.97,2010,7,Jul,Friday,28
2010-07-18,15214.11,40,37,884,380.35,23877.12,0,Normal,26478.06,12724.51,2010,7,Jul,Sunday,28
2010-07-19,30567.61,59,54,1432,518.1,27121.58,0,Normal,26684.47,12739.44,2010,7,Jul,Monday,29
2010-07-20,24853.87,57,48,1164,436.03,27831.29,0,Normal,26494.85,12722.36,2010,7,Jul,Tuesday,29
2010-07-21,22396.05,55,42,1222,407.2,28022.67,0,Normal,26196.88,12709.76,2010,7,Jul,Wednesday,29
2010-07-22,26860.99,78,57,1584,344.37,28451.27,0,Normal,25151.39,11182.49,2010,7,Jul,Thursday,29
2010-07-23,25904.96,48,37,1033,539.69,24057.3,0,Normal,25388.2,11118.4,2010,7,Jul,Friday,29
2010-07-25,17431.3,54,51,1266,322.8,23318.41,0,Normal,25665.46,10797.64,2010,7,Jul,Sunday,29
2010-07-26,25205.76,62,47,1474,406.54,24745.79,0,Normal,25800.33,10764.64,2010,7,Jul,Monday,30
2010-07-27,28490.87,70,56,1029,407.01,24449.11,0,Normal,26258.37,10568.78,2010,7,Jul,Tuesday,30
2010-07-28,23364.32,65,60,1312,359.45,24236.32,0,Normal,26108.89,10577.22,2010,7,Jul,Wednesday,30
2010-07-29,38422.54,72,60,1834,533.65,26525.82,0,Normal,26498.65,10813.68,2010,7,Jul,Thursday,30
2010-07-30,16147.31,53,39,737,304.67,24995.29,0,Normal,26446.24,10861.4,2010,7,Jul,Friday,30
2010-08-01,30724.29,32,27,875,960.13,25683.77,0,Normal,26842.58,10790.76,2010,8,Aug,Sunday,30
2010-08-02,29175.51,63,49,1144,463.1,27361.51,0,Normal,26015.14,9512.65,2010,8,Aug,Monday,31
2010-08-03,26943.48,59,47,1493,456.67,27609.76,0,Normal,25741.88,9357.94,2010,8,Aug,Tuesday,31
2010-08-04,21425.14,53,47,1387,404.25,26600.37,0,Normal,25299.38,9232.75,2010,8,Aug,Wednesday,31
2010-08-05,24508.48,54,48,1325,453.86,26763.82,0,Normal,25105.83,9184.72,2010,8,Aug,Thursday,31
2010-08-06,15219.6,45,31,560,338.21,23449.12,0,Normal,25050.05,9241.24,2010,8,Aug,Friday,31
2010-08-08,14147.14,44,41,897,321.53,23163.38,0,Normal,25171.83,9065.19,2010,8,Aug,Sunday,31
2010-08-09,31711.09,51,41,880,621.79,23304.35,0,Normal,25132.36,9032.93,2010,8,Aug,Monday,32
2010-08-10,35820.32,46,33,1740,778.7,24253.61,0,Normal,25542.9,9234.01,2010,8,Aug,Tuesday,32
2010-08-11,23719.39,46,35,1022,515.64,23793.02,0,Normal,25258.45,9151.25,2010,8,Aug,Wednesday,32
2010-08-12,29123.13,81,56,1764,359.54,24892.74,0,Normal,25552.5,9128.18,2010,8,Aug,Thursday,32
2010-08-13,37403.7,55,34,1463,680.07,26734.91,0,Normal,25556.89,9134.04,2010,8,Aug,Friday,32
2010-08-15,22356.69,58,52,1070,385.46,27754.49,0,Normal,26040.23,8528.69,2010,8,Aug,Sunday,32
2010-08-16,20880.2,39,32,1009,535.39,28716.36,0,Normal,26073.38,8505.85,2010,8,Aug,Monday,33
2010-08-17,30395.63,45,40,929,675.46,28528.44,0,Normal,26384.68,8486.79,2010,8,Aug,Tuesday,33
2010-08-18,37239.15,58,47,1620,642.05,28731.13,0,Normal,26830.63,8698.44,2010,8,Aug,Wednesday,33
2010-08-19,33052.15,77,55,1524,429.25,30064.38,0,Normal,26043.61,6757.87,2010,8,Aug,Thursday,33
2010-08-20,25550.79,59,49,1286,433.06,29554.04,0,Normal,26141.85,6727.5,2010,8,Aug,Friday,33
2010-08-22,22766.81,60,51,1365,379.45,27463.06,0,Normal,26393.61,6439.61,2010,8,Aug,Sunday,33
2010-08-23,21901.25,45,37,1156,486.69,27398.0,0,Normal,26104.73,6440.3,2010,8,Aug,Monday,34
2010-08-24,27485.09,61,53,1135,450.58,28341.55,0,Normal,26192.44,6440.59,2010,8,Aug,Tuesday,34
2010-08-25,31715.03,76,62,1611,417.3,28530.04,0,Normal,26503.07,6475.81,2010,8,Aug,Wednesday,34
2010-08-26,35363.46,80,64,1658,442.04,28262.08,0,Normal,26786.49,6675.01,2010,8,Aug,Thursday,34
2010-08-27,18173.14,36,29,998,504.81,26136.51,0,Normal,26528.76,6857.0,2010,8,Aug,Friday,34
2010-08-29,14509.78,39,36,811,372.05,24559.22,0,Normal,26431.37,7009.71,2010,8,Aug,Sunday,34
2010-08-31,35964.47,63,48,1751,570.86,26444.6,0,Normal,26790.0,7216.99,2010,8,Aug,Tuesday,35
2010-09-01,23367.55,43,35,980,543.43,26654.07,0,Normal,26619.22,7235.95,2010,9,Sep,Wednesday,35
2010-09-02,36501.87,91,77,1608,401.12,27942.19,0,Normal,27057.14,7427.18,2010,9,Sep,Thursday,35
2010-09-03,37258.14,60,49,1028,620.97,28734.06,0,Normal,27018.33,7368.55,2010,9,Sep,Friday,35
2010-09-05,12389.65,35,35,812,353.99,25452.09,0,Normal,26893.07,7588.37,2010,9,Sep,Sunday,35
2010-09-06,28785.63,53,41,1565,543.13,26968.16,0,Normal,26828.45,7562.83,2010,9,Sep,Monday,36
2010-09-07,27498.31,51,45,1141,539.18,28823.66,0,Normal,26772.54,7551.08,2010,9,Sep,Tuesday,36
2010-09-08,17635.87,49,45,1084,359.92,26205.29,0,Normal,26462.29,7732.84,2010,9,Sep,Wednesday,36
2010-09-09,25798.99,67,59,1611,385.06,26552.64,0,Normal,26608.08,7675.61,2010,9,Sep,Thursday,36
2010-09-10,17639.27,46,38,993,383.46,23857.98,0,Normal,26379.11,7841.08,2010,9,Sep,Friday,36
2010-09-12,15762.29,48,46,1325,328.38,20787.14,0,Normal,26397.2,7815.03,2010,9,Sep,Sunday,36
