YearMonth,Year,Month,Month_Name,Row_Type,Category,Sub-Category,Region,Segment,Sales,Profit,Quantity,Discount,Profit_Margin_Pct,Sales_Prior_Month,Sales_MoM_Variance,Sales_MoM_Variance_Pct,Sales_Prior_Year,Sales_YoY_Variance,Sales_YoY_Variance_Pct,Sales_Forecast,Forecast_vs_Actual_Delta,Variance_Direction
2024-06-01,2024,6,Jun,Actual,Furniture,Bookcases,Central,Consumer,0.0,0.0,0.0,0.0,,0.0,0.0,,193.07,-193.07,-100.0,170.98,-170.98,Flat
2024-07-01,2024,7,Jul,Actual,Furniture,Bookcases,Central,Consumer,1298.37,-178.68,9.0,0.3,-13.76,0.0,1298.37,,0.0,1298.37,,0.0,1298.37,Positive
2024-08-01,2024,8,Aug,Actual,Furniture,Bookcases,Central,Consumer,0.0,0.0,0.0,0.0,,1298.37,-1298.37,-100.0,0.0,0.0,,432.79,-432.79,Negative
2024-09-01,2024,9,Sep,Actual,Furniture,Bookcases,Central,Consumer,0.0,0.0,0.0,0.0,,0.0,0.0,,493.43,-493.43,-100.0,432.79,-432.79,Flat
2024-10-01,2024,10,Oct,Actual,Furniture,Bookcases,Central,Consumer,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,432.79,-432.79,Flat
2024-11-01,2024,11,Nov,Actual,Furniture,Bookcases,Central,Consumer,614.0,-18.06,3.0,0.32,-2.94,0.0,614.0,,424.12,189.88,44.77,0.0,614.0,Positive
2024-12-01,2024,12,Dec,Actual,Furniture,Bookcases,Central,Consumer,359.06,-71.81,3.0,0.3,-20.0,614.0,-254.94,-41.52,0.0,359.06,,204.67,154.39,Negative
2025-01-01,2025,1,Jan,Actual,Furniture,Bookcases,Central,Consumer,0.0,0.0,0.0,0.0,,359.06,-359.06,-100.0,1352.4,-1352.4,-100.0,324.35,-324.35,Negative
2025-02-01,2025,2,Feb,Actual,Furniture,Bookcases,Central,Consumer,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,324.35,-324.35,Flat
2025-03-01,2025,3,Mar,Actual,Furniture,Bookcases,Central,Consumer,241.33,-14.2,5.0,0.32,-5.88,0.0,241.33,,512.94,-271.61,-52.95,119.69,121.65,Positive
2025-04-01,2025,4,Apr,Actual,Furniture,Bookcases,Central,Consumer,0.0,0.0,0.0,0.0,,241.33,-241.33,-100.0,0.0,0.0,,80.44,-80.44,Negative
2025-05-01,2025,5,May,Actual,Furniture,Bookcases,Central,Consumer,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,80.44,-80.44,Flat
2025-06-01,2025,6,Jun,Actual,Furniture,Bookcases,Central,Consumer,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,80.44,-80.44,Flat
2025-07-01,2025,7,Jul,Actual,Furniture,Bookcases,Central,Consumer,0.0,0.0,0.0,0.0,,0.0,0.0,,1298.37,-1298.37,-100.0,0.0,0.0,Flat
2025-08-01,2025,8,Aug,Actual,Furniture,Bookcases,Central,Consumer,156.37,-52.89,2.0,0.32,-33.82,0.0,156.37,,0.0,156.37,,0.0,156.37,Positive
2025-09-01,2025,9,Sep,Actual,Furniture,Bookcases,Central,Consumer,2595.01,-317.15,8.0,0.31,-12.22,156.37,2438.64,1559.5,0.0,2595.01,,52.12,2542.89,Positive
2025-10-01,2025,10,Oct,Actual,Furniture,Bookcases,Central,Consumer,0.0,0.0,0.0,0.0,,2595.01,-2595.01,-100.0,0.0,0.0,,917.13,-917.13,Negative
2025-11-01,2025,11,Nov,Actual,Furniture,Bookcases,Central,Consumer,1298.62,-170.38,9.0,0.16,-13.12,0.0,1298.62,,614.0,684.63,111.5,917.13,381.5,Positive
2025-12-01,2025,12,Dec,Actual,Furniture,Bookcases,Central,Consumer,405.86,32.47,7.0,0.0,8.0,1298.62,-892.76,-68.75,359.06,46.8,13.03,1297.88,-892.02,Negative
2026-01-01,2026,1,Jan,Actual,Furniture,Bookcases,Central,Consumer,0.0,0.0,0.0,0.0,,405.86,-405.86,-100.0,0.0,0.0,,568.16,-568.16,Negative
2026-02-01,2026,2,Feb,Actual,Furniture,Bookcases,Central,Consumer,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,568.16,-568.16,Flat
2026-03-01,2026,3,Mar,Actual,Furniture,Bookcases,Central,Consumer,1023.33,-30.1,5.0,0.32,-2.94,0.0,1023.33,,241.33,782.0,324.03,135.29,888.05,Positive
2026-04-01,2026,4,Apr,Actual,Furniture,Bookcases,Central,Consumer,0.0,0.0,0.0,0.0,,1023.33,-1023.33,-100.0,0.0,0.0,,341.11,-341.11,Negative
2026-05-01,2026,5,May,Actual,Furniture,Bookcases,Central,Consumer,204.67,-6.02,1.0,0.32,-2.94,0.0,204.67,,0.0,204.67,,341.11,-136.44,Positive
2026-06-01,2026,6,Jun,Actual,Furniture,Bookcases,Central,Consumer,410.0,-96.47,3.0,0.32,-23.53,204.67,205.33,100.33,0.0,410.0,,409.33,0.67,Positive
2026-07-01,2026,7,Jul,Actual,Furniture,Bookcases,Central,Consumer,0.0,0.0,0.0,0.0,,410.0,-410.0,-100.0,0.0,0.0,,204.89,-204.89,Negative
2026-08-01,2026,8,Aug,Actual,Furniture,Bookcases,Central,Consumer,183.37,-36.67,2.0,0.3,-20.0,0.0,183.37,,156.37,27.0,17.27,204.89,-21.52,Positive
2026-09-01,2026,9,Sep,Actual,Furniture,Bookcases,Central,Consumer,0.0,0.0,0.0,0.0,,183.37,-183.37,-100.0,2595.01,-2595.01,-100.0,197.79,-197.79,Negative
2026-10-01,2026,10,Oct,Actual,Furniture,Bookcases,Central,Consumer,328.4,-91.76,3.0,0.32,-27.94,0.0,328.4,,0.0,328.4,,61.12,267.28,Positive
2026-11-01,2026,11,Nov,Actual,Furniture,Bookcases,Central,Consumer,327.73,-14.46,2.0,0.32,-4.41,328.4,-0.67,-0.2,1298.62,-970.89,-74.76,170.59,157.14,Negative
2026-12-01,2026,12,Dec,Actual,Furniture,Bookcases,Central,Consumer,538.77,29.8,6.0,0.16,5.53,327.73,211.04,64.39,405.86,132.91,32.75,218.71,320.06,Positive
2027-01-01,2027,1,Jan,Forecast,Furniture,Bookcases,Central,Consumer,,,,,,,,,,,,398.3,,Flat
2027-02-01,2027,2,Feb,Forecast,Furniture,Bookcases,Central,Consumer,,,,,,,,,,,,421.6,,Flat
2027-03-01,2027,3,Mar,Forecast,Furniture,Bookcases,Central,Consumer,,,,,,,,,,,,452.89,,Flat
2023-01-01,2023,1,Jan,Actual,Furniture,Bookcases,Central,Corporate,141.96,39.75,2.0,0.0,28.0,,,,,,,,,Flat
2023-02-01,2023,2,Feb,Actual,Furniture,Bookcases,Central,Corporate,0.0,0.0,0.0,0.0,,141.96,-141.96,-100.0,,,,141.96,-141.96,Negative
2023-03-01,2023,3,Mar,Actual,Furniture,Bookcases,Central,Corporate,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,70.98,-70.98,Flat
2023-04-01,2023,4,Apr,Actual,Furniture,Bookcases,Central,Corporate,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,47.32,-47.32,Flat
2023-05-01,2023,5,May,Actual,Furniture,Bookcases,Central,Corporate,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,Flat
2023-06-01,2023,6,Jun,Actual,Furniture,Bookcases,Central,Corporate,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,Flat
2023-07-01,2023,7,Jul,Actual,Furniture,Bookcases,Central,Corporate,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,Flat
2023-08-01,2023,8,Aug,Actual,Furniture,Bookcases,Central,Corporate,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,Flat
2023-09-01,2023,9,Sep,Actual,Furniture,Bookcases,Central,Corporate,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,Flat
2023-10-01,2023,10,Oct,Actual,Furniture,Bookcases,Central,Corporate,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,Flat
2023-11-01,2023,11,Nov,Actual,Furniture,Bookcases,Central,Corporate,67.99,-13.0,1.0,0.32,-19.12,0.0,67.99,,,,,0.0,67.99,Positive
2023-12-01,2023,12,Dec,Actual,Furniture,Bookcases,Central,Corporate,0.0,0.0,0.0,0.0,,67.99,-67.99,-100.0,,,,22.66,-22.66,Negative
2024-01-01,2024,1,Jan,Actual,Furniture,Bookcases,Central,Corporate,0.0,0.0,0.0,0.0,,0.0,0.0,,141.96,-141.96,-100.0,22.66,-22.66,Flat
2024-02-01,2024,2,Feb,Actual,Furniture,Bookcases,Central,Corporate,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,22.66,-22.66,Flat
2024-03-01,2024,3,Mar,Actual,Furniture,Bookcases,Central,Corporate,1228.0,-36.12,6.0,0.32,-2.94,0.0,1228.0,,0.0,1228.0,,0.0,1228.0,Positive
2024-04-01,2024,4,Apr,Actual,Furniture,Bookcases,Central,Corporate,0.0,0.0,0.0,0.0,,1228.0,-1228.0,-100.0,0.0,0.0,,409.33,-409.33,Negative
2024-05-01,2024,5,May,Actual,Furniture,Bookcases,Central,Corporate,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,409.33,-409.33,Flat
2024-06-01,2024,6,Jun,Actual,Furniture,Bookcases,Central,Corporate,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,409.33,-409.33,Flat
2024-07-01,2024,7,Jul,Actual,Furniture,Bookcases,Central,Corporate,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Flat
2024-08-01,2024,8,Aug,Actual,Furniture,Bookcases,Central,Corporate,369.2,-114.02,3.0,0.32,-30.88,0.0,369.2,,0.0,369.2,,0.0,369.2,Positive
2024-09-01,2024,9,Sep,Actual,Furniture,Bookcases,Central,Corporate,194.32,31.09,4.0,0.0,16.0,369.2,-174.88,-47.37,0.0,194.32,,123.07,71.25,Negative
2024-10-01,2024,10,Oct,Actual,Furniture,Bookcases,Central,Corporate,0.0,0.0,0.0,0.0,,194.32,-194.32,-100.0,0.0,0.0,,187.84,-187.84,Negative
2024-11-01,2024,11,Nov,Actual,Furniture,Bookcases,Central,Corporate,246.13,-76.01,2.0,0.32,-30.88,0.0,246.13,,67.99,178.14,262.0,187.84,58.29,Positive
2024-12-01,2024,12,Dec,Actual,Furniture,Bookcases,Central,Corporate,160.98,20.93,1.0,0.0,13.0,246.13,-85.15,-34.6,0.0,160.98,,146.82,14.16,Negative
2025-01-01,2025,1,Jan,Actual,Furniture,Bookcases,Central,Corporate,1565.88,407.13,6.0,0.0,26.0,160.98,1404.9,872.72,0.0,1565.88,,135.7,1430.18,Positive
2025-02-01,2025,2,Feb,Actual,Furniture,Bookcases,Central,Corporate,0.0,0.0,0.0,0.0,,1565.88,-1565.88,-100.0,0.0,0.0,,657.66,-657.66,Negative
2025-03-01,2025,3,Mar,Actual,Furniture,Bookcases,Central,Corporate,0.0,0.0,0.0,0.0,,0.0,0.0,,1228.0,-1228.0,-100.0,575.62,-575.62,Flat
2025-04-01,2025,4,Apr,Actual,Furniture,Bookcases,Central,Corporate,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,521.96,-521.96,Flat
2025-05-01,2025,5,May,Actual,Furniture,Bookcases,Central,Corporate,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Flat
2025-06-01,2025,6,Jun,Actual,Furniture,Bookcases,Central,Corporate,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Flat
2025-07-01,2025,7,Jul,Actual,Furniture,Bookcases,Central,Corporate,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Flat
2025-08-01,2025,8,Aug,Actual,Furniture,Bookcases,Central,Corporate,241.96,24.2,2.0,0.0,10.0,0.0,241.96,,369.2,-127.24,-34.46,0.0,241.96,Positive
2025-09-01,2025,9,Sep,Actual,Furniture,Bookcases,Central,Corporate,956.66,-225.1,7.0,0.32,-23.53,241.96,714.7,295.38,194.32,762.34,392.31,80.65,876.01,Positive
2025-10-01,2025,10,Oct,Actual,Furniture,Bookcases,Central,Corporate,0.0,0.0,0.0,0.0,,956.66,-956.66,-100.0,0.0,0.0,,399.54,-399.54,Negative
2025-11-01,2025,11,Nov,Actual,Furniture,Bookcases,Central,Corporate,0.0,0.0,0.0,0.0,,0.0,0.0,,246.13,-246.13,-100.0,399.54,-399.54,Flat
2025-12-01,2025,12,Dec,Actual,Furniture,Bookcases,Central,Corporate,923.24,-152.11,12.0,0.31,-16.48,0.0,923.24,,160.98,762.26,473.51,318.89,604.35,Positive
2026-01-01,2026,1,Jan,Actual,Furniture,Bookcases,Central,Corporate,212.94,53.24,3.0,0.0,25.0,923.24,-710.3,-76.94,1565.88,-1352.94,-86.4,307.75,-94.81,Negative
2026-02-01,2026,2,Feb,Actual,Furniture,Bookcases,Central,Corporate,0.0,0.0,0.0,0.0,,212.94,-212.94,-100.0,0.0,0.0,,378.73,-378.73,Negative
2026-03-01,2026,3,Mar,Actual,Furniture,Bookcases,Central,Corporate,205.33,-36.24,2.0,0.32,-17.65,0.0,205.33,,0.0,205.33,,378.73,-173.39,Positive
2026-04-01,2026,4,Apr,Actual,Furniture,Bookcases,Central,Corporate,220.27,-42.11,4.0,0.32,-19.12,205.33,14.93,7.27,0.0,220.27,,139.42,80.84,Positive
2026-05-01,2026,5,May,Actual,Furniture,Bookcases,Central,Corporate,623.46,-119.19,7.0,0.32,-19.12,220.27,403.2,183.05,0.0,623.46,,141.87,481.6,Positive
2026-06-01,2026,6,Jun,Actual,Furniture,Bookcases,Central,Corporate,0.0,0.0,0.0,0.0,,623.46,-623.46,-100.0,0.0,0.0,,349.69,-349.69,Negative
2026-07-01,2026,7,Jul,Actual,Furniture,Bookcases,Central,Corporate,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,281.24,-281.24,Flat
2026-08-01,2026,8,Aug,Actual,Furniture,Bookcases,Central,Corporate,0.0,0.0,0.0,0.0,,0.0,0.0,,241.96,-241.96,-100.0,207.82,-207.82,Flat
2026-09-01,2026,9,Sep,Actual,Furniture,Bookcases,Central,Corporate,825.17,-117.88,9.0,0.3,-14.29,0.0,825.17,,956.66,-131.49,-13.74,0.0,825.17,Positive
2026-10-01,2026,10,Oct,Actual,Furniture,Bookcases,Central,Corporate,0.0,0.0,0.0,0.0,,825.17,-825.17,-100.0,0.0,0.0,,275.06,-275.06,Negative
2026-11-01,2026,11,Nov,Actual,Furniture,Bookcases,Central,Corporate,206.0,-27.26,3.0,0.32,-13.24,0.0,206.0,,0.0,206.0,,275.06,-69.06,Positive
2026-12-01,2026,12,Dec,Actual,Furniture,Bookcases,Central,Corporate,0.0,0.0,0.0,0.0,,206.0,-206.0,-100.0,923.24,-923.24,-100.0,343.72,-343.72,Negative
2027-01-01,2027,1,Jan,Forecast,Furniture,Bookcases,Central,Corporate,,,,,,,,,,,,68.67,,Flat
2027-02-01,2027,2,Feb,Forecast,Furniture,Bookcases,Central,Corporate,,,,,,,,,,,,91.56,,Flat
2027-03-01,2027,3,Mar,Forecast,Furniture,Bookcases,Central,Corporate,,,,,,,,,,,,53.41,,Flat
2023-01-01,2023,1,Jan,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,,,,,,,,,Flat
2023-02-01,2023,2,Feb,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,Flat
2023-03-01,2023,3,Mar,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,Flat
2023-04-01,2023,4,Apr,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,Flat
2023-05-01,2023,5,May,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,Flat
2023-06-01,2023,6,Jun,Actual,Furniture,Bookcases,Central,Home Office,212.94,57.49,3.0,0.0,27.0,0.0,212.94,,,,,0.0,212.94,Positive
2023-07-01,2023,7,Jul,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,212.94,-212.94,-100.0,,,,70.98,-70.98,Negative
2023-08-01,2023,8,Aug,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,70.98,-70.98,Flat
2023-09-01,2023,9,Sep,Actual,Furniture,Bookcases,Central,Home Office,300.53,-97.23,2.0,0.32,-32.35,0.0,300.53,,,,,70.98,229.55,Positive
2023-10-01,2023,10,Oct,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,300.53,-300.53,-100.0,,,,100.18,-100.18,Negative
2023-11-01,2023,11,Nov,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,100.18,-100.18,Flat
2023-12-01,2023,12,Dec,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,100.18,-100.18,Flat
2024-01-01,2024,1,Jan,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Flat
2024-02-01,2024,2,Feb,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Flat
2024-03-01,2024,3,Mar,Actual,Furniture,Bookcases,Central,Home Office,742.52,-103.58,7.0,0.31,-13.95,0.0,742.52,,0.0,742.52,,0.0,742.52,Positive
2024-04-01,2024,4,Apr,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,742.52,-742.52,-100.0,0.0,0.0,,247.51,-247.51,Negative
2024-05-01,2024,5,May,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,247.51,-247.51,Flat
2024-06-01,2024,6,Jun,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,0.0,0.0,,212.94,-212.94,-100.0,247.51,-247.51,Flat
2024-07-01,2024,7,Jul,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Flat
2024-08-01,2024,8,Aug,Actual,Furniture,Bookcases,Central,Home Office,687.4,48.12,5.0,0.0,7.0,0.0,687.4,,0.0,687.4,,0.0,687.4,Positive
2024-09-01,2024,9,Sep,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,687.4,-687.4,-100.0,300.53,-300.53,-100.0,229.13,-229.13,Negative
2024-10-01,2024,10,Oct,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,229.13,-229.13,Flat
2024-11-01,2024,11,Nov,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,229.13,-229.13,Flat
2024-12-01,2024,12,Dec,Actual,Furniture,Bookcases,Central,Home Office,532.4,-46.98,3.0,0.32,-8.82,0.0,532.4,,0.0,532.4,,0.0,532.4,Positive
2025-01-01,2025,1,Jan,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,532.4,-532.4,-100.0,0.0,0.0,,177.47,-177.47,Negative
2025-02-01,2025,2,Feb,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,177.47,-177.47,Flat
2025-03-01,2025,3,Mar,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,0.0,0.0,,742.52,-742.52,-100.0,177.47,-177.47,Flat
2025-04-01,2025,4,Apr,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Flat
2025-05-01,2025,5,May,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Flat
2025-06-01,2025,6,Jun,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Flat
2025-07-01,2025,7,Jul,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Flat
2025-08-01,2025,8,Aug,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,0.0,0.0,,687.4,-687.4,-100.0,0.0,0.0,Flat
2025-09-01,2025,9,Sep,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Flat
2025-10-01,2025,10,Oct,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Flat
2025-11-01,2025,11,Nov,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Flat
2025-12-01,2025,12,Dec,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,0.0,0.0,,532.4,-532.4,-100.0,0.0,0.0,Flat
2026-01-01,2026,1,Jan,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Flat
2026-02-01,2026,2,Feb,Actual,Furniture,Bookcases,Central,Home Office,89.07,-17.03,1.0,0.32,-19.12,0.0,89.07,,0.0,89.07,,0.0,89.07,Positive
2026-03-01,2026,3,Mar,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,89.07,-89.07,-100.0,0.0,0.0,,29.69,-29.69,Negative
2026-04-01,2026,4,Apr,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,29.69,-29.69,Flat
2026-05-01,2026,5,May,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,29.69,-29.69,Flat
2026-06-01,2026,6,Jun,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Flat
2026-07-01,2026,7,Jul,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Flat
2026-08-01,2026,8,Aug,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Flat
2026-09-01,2026,9,Sep,Actual,Furniture,Bookcases,Central,Home Office,241.96,41.13,2.0,0.0,17.0,0.0,241.96,,0.0,241.96,,0.0,241.96,Positive
2026-10-01,2026,10,Oct,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,241.96,-241.96,-100.0,0.0,0.0,,80.65,-80.65,Negative
2026-11-01,2026,11,Nov,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,80.65,-80.65,Flat
2026-12-01,2026,12,Dec,Actual,Furniture,Bookcases,Central,Home Office,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,80.65,-80.65,Flat
2027-01-01,2027,1,Jan,Forecast,Furniture,Bookcases,Central,Home Office,,,,,,,,,,,,0.0,,Flat
2027-02-01,2027,2,Feb,Forecast,Furniture,Bookcases,Central,Home Office,,,,,,,,,,,,0.0,,Flat
2027-03-01,2027,3,Mar,Forecast,Furniture,Bookcases,Central,Home Office,,,,,,,,,,,,0.0,,Flat
2023-01-01,2023,1,Jan,Actual,Furniture,Bookcases,East,Consumer,0.0,0.0,0.0,0.0,,,,,,,,,,Flat
2023-02-01,2023,2,Feb,Actual,Furniture,Bookcases,East,Consumer,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,Flat
2023-03-01,2023,3,Mar,Actual,Furniture,Bookcases,East,Consumer,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,Flat
2023-04-01,2023,4,Apr,Actual,Furniture,Bookcases,East,Consumer,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,Flat
